dataset,norm_mode,algorithm,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,gamma
glass+identification,center,kmeans,53.9252,0.8147,39.7467,1.6681,26.1918,0.8581,N/A
glass+identification,center,diskmeans,51.7757,2.8562,39.6833,2.6314,25.6789,2.3683,10000.0
glass+identification,center,fdkm,53.4579,0.9157,41.2072,1.9160,26.6447,0.4590,10000.0
glass+identification,center,ifdkm,53.5514,0.6994,40.4433,2.6953,26.5697,1.3065,10000.0
glass+identification,center,ifdfd,53.4579,0.9157,41.2138,1.9078,26.9524,0.0821,10000.0
glass+identification,standardize,kmeans,45.2336,3.1333,33.5796,5.1266,18.4985,3.5902,N/A
glass+identification,standardize,diskmeans,45.6075,0.6339,33.7462,1.3661,17.9020,0.6256,10000.0
glass+identification,standardize,fdkm,45.7009,0.8566,31.6437,0.0957,16.6698,0.5582,10000.0
glass+identification,standardize,ifdkm,44.4860,1.7080,31.7942,2.3784,16.7574,1.3836,10000.0
glass+identification,standardize,ifdfd,45.1402,1.8831,30.7019,1.7861,16.4742,1.2305,10000.0
glass+identification,pca_whiten,kmeans,42.6168,2.5320,29.8127,3.0465,16.1813,1.5760,N/A
glass+identification,pca_whiten,diskmeans,39.5327,0.7593,27.0732,2.3203,14.8257,1.4779,1e-08
glass+identification,pca_whiten,fdkm,45.8879,3.2963,30.5611,3.5395,17.7932,3.1875,10000.0
glass+identification,pca_whiten,ifdkm,38.7850,0.7819,25.4176,1.2055,13.1085,0.9709,1e-08
glass+identification,pca_whiten,ifdfd,41.7757,1.3414,27.4430,3.2490,14.1255,0.9859,1e-08
glass+identification,l2_sample,kmeans,53.5514,0.8147,42.3914,1.9688,27.2889,0.9831,N/A
glass+identification,l2_sample,diskmeans,53.3645,0.5449,41.9455,2.2712,27.4704,0.5729,1.0
glass+identification,l2_sample,fdkm,53.9252,1.0491,41.9703,1.3500,27.3927,0.7497,1.0
glass+identification,l2_sample,ifdkm,45.8879,0.3497,33.0518,2.0409,18.7945,0.9796,0.01
glass+identification,l2_sample,ifdfd,53.1776,1.2677,39.7093,3.6289,25.9671,2.5052,1.0
glass+identification,center_l2,kmeans,48.1308,4.6822,38.7389,2.2688,23.6111,2.6720,N/A
glass+identification,center_l2,diskmeans,49.7196,3.2857,38.1206,2.7810,23.3498,2.5233,100.0
glass+identification,center_l2,fdkm,52.8972,0.4578,41.1405,0.8406,26.4299,0.2516,10000.0
glass+identification,center_l2,ifdkm,40.3738,2.7503,29.9963,2.2440,15.5814,2.2895,1.0
glass+identification,center_l2,ifdfd,39.6262,2.8100,25.5501,3.2282,12.7985,2.7101,0.01
glass+identification,frobenius,kmeans,53.9252,0.8147,39.7467,1.6681,26.1918,0.8581,N/A
glass+identification,frobenius,diskmeans,53.1776,2.0131,41.0187,3.4511,26.8008,1.9910,1.0
glass+identification,frobenius,fdkm,54.0187,0.8667,42.3550,1.5847,27.6937,0.7235,0.01
glass+identification,frobenius,ifdkm,44.7664,1.1968,32.4067,0.4333,18.3657,0.2197,0.0001
glass+identification,frobenius,ifdfd,53.2710,0.8359,40.3835,3.1193,26.7077,1.9809,0.01
glass+identification,robust,kmeans,47.0093,3.6027,33.1507,2.6998,18.6572,2.9918,N/A
glass+identification,robust,diskmeans,43.7383,0.3738,31.5421,0.3191,16.8962,0.1895,1000000.0
glass+identification,robust,fdkm,45.4206,1.2677,32.1306,0.3167,17.8323,0.4777,1000000.0
glass+identification,robust,ifdkm,45.1402,4.5937,31.6916,4.3544,17.9536,3.8179,10000.0
glass+identification,robust,ifdfd,45.5140,4.4390,32.5663,3.7557,18.2937,3.5997,10000.0
glass+identification,minmax,kmeans,46.2617,3.4466,34.2742,2.4776,18.5047,2.0295,N/A
glass+identification,minmax,diskmeans,45.9813,4.0154,31.6837,2.9663,19.6191,3.9688,100000000.0
glass+identification,minmax,fdkm,48.0374,2.3158,36.3332,1.8014,19.3571,1.3334,10000.0
glass+identification,minmax,ifdkm,44.0187,0.9061,33.9560,1.4611,18.0757,1.1567,100.0
glass+identification,minmax,ifdfd,42.8972,2.4973,31.1253,1.7215,16.3661,1.0817,1.0
glass+identification,row_center,kmeans,53.9252,0.8147,39.7467,1.6681,26.1918,0.8581,N/A
glass+identification,row_center,diskmeans,52.6168,2.0175,40.1853,2.7278,26.8284,2.0823,1000000.0
glass+identification,row_center,fdkm,52.8037,0.9802,40.7051,1.7508,26.8582,0.9693,1000000.0
glass+identification,row_center,ifdkm,45.2336,2.0561,33.5713,0.8742,18.5610,1.0126,100.0
glass+identification,row_center,ifdfd,52.8037,0.9802,40.7051,1.7508,26.8582,0.9693,1000000.0
glass+identification,double_center,kmeans,53.9252,0.8147,39.7467,1.6681,26.1918,0.8581,N/A
glass+identification,double_center,diskmeans,51.7757,2.8562,39.6833,2.6314,25.6789,2.3683,10000.0
glass+identification,double_center,fdkm,53.4579,0.9157,41.2072,1.9160,26.6447,0.4590,10000.0
glass+identification,double_center,ifdkm,53.5514,0.6994,40.4433,2.6953,26.5697,1.3065,10000.0
glass+identification,double_center,ifdfd,53.4579,0.9157,41.2138,1.9078,26.9524,0.0821,10000.0
glass+identification,False,kmeans,53.9252,0.8147,39.7467,1.6681,26.1918,0.8581,N/A
glass+identification,False,diskmeans,52.7103,1.6295,40.1180,2.5688,26.7113,1.8904,1000000.0
glass+identification,False,fdkm,53.9252,1.0491,42.4637,1.4157,27.7326,0.6930,10000.0
glass+identification,False,ifdkm,45.2336,1.8314,33.8614,1.9561,19.7588,2.1758,100.0
glass+identification,False,ifdfd,52.5234,0.8147,40.6203,1.6463,26.8547,0.8477,1000000.0
ecoli,center,kmeans,58.7500,3.8049,61.5518,1.1060,45.8568,4.4305,N/A
ecoli,center,diskmeans,65.8333,7.8639,62.9786,2.2047,54.2410,9.7540,1.0
ecoli,center,fdkm,64.9405,6.5757,61.0513,2.1901,51.8658,6.5860,1e-08
ecoli,center,ifdkm,71.6071,7.0846,60.9517,2.5862,58.6060,8.9892,1e-08
ecoli,center,ifdfd,72.1429,6.6165,61.2382,2.4762,58.9816,8.5876,1e-08
ecoli,standardize,kmeans,61.3095,2.8732,61.2942,2.1026,48.2467,1.2974,N/A
ecoli,standardize,diskmeans,68.9286,6.9762,62.8017,2.8085,55.5355,9.7180,100.0
ecoli,standardize,fdkm,65.2381,6.3118,60.4274,1.6422,53.4037,7.3676,1000000.0
ecoli,standardize,ifdkm,71.6071,7.0846,60.9517,2.5862,58.6060,8.9892,1e-08
ecoli,standardize,ifdfd,72.1429,6.6165,61.2382,2.4762,58.9816,8.5876,1e-08
